Dish_ID,Dish_Name,Category,Cuisine,Serving_Size_g,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Ayurvedic_Rasa,Ayurvedic_Virya,Ayurvedic_Guna,Notes
57,Ash Gourd Curry (Kumbalanga Olan),Vegetables (Sabzi),Indian,250,150,3,10,11,4,"Sweet","Cold","Easy","Extremely cooling and Sattvic. Calms the nerves and detoxifies, excellent for Pitta."
58,Raw Banana Sabzi (Kacche Kele ki Sabzi),Vegetables (Sabzi),Indian,200,240,3,35,10,5,"Astringent, Sweet","Cold","Moderate","Astringency helps bind stool, good for digestive issues. Can be drying for Vata."
59,Drumstick and Lentil Curry (Moringa Dal),Main Course,Indian,280,310,16,40,10,13,"Pungent, Bitter, Sweet","Hot","Moderate","Drumsticks are highly purifying and rich in nutrients. Good for Kapha."
60,Suran Sabzi (Yam Stir-fry),Vegetables (Sabzi),Indian,200,250,4,40,8,6,"Pungent, Astringent","Hot","Moderate","Specifically good for piles (Arsha) and digestive health. Must be cooked well."
61,Tendli Sabzi (Ivy Gourd Stir-fry),Vegetables (Sabzi),Indian,200,190,4,15,13,5,"Sweet, Bitter","Cold","Easy","Balances blood sugar and is good for Kapha and Pitta."
62,Barley Pulao with Vegetables,Grains,Indian,250,320,9,60,5,12,"Sweet, Astringent","Cold","Moderate","Diuretic and cooling, excellent for reducing Kapha and Pitta."
63,Amaranth Porridge (Rajgira),Breakfast,Indian,200,280,10,45,7,8,"Sweet, Astringent","Cold","Easy","Gluten-free, light, and easy to digest. Common during fasts."
64,Broken Wheat Upma (Dalia),Breakfast,Indian,200,300,9,55,5,10,"Sweet","Hot","Moderate","High in fiber, more grounding and nourishing than semolina upma."
65,Set Dosa (Spongy Rice Pancake),Breakfast,Indian,150,250,6,50,2,3,"Sweet, Sour","Hot","Easy","Lighter and easier to digest than regular dosa. Still Pitta-aggravating."
66,Kodo Millet Upma,Breakfast,Indian,200,320,8,60,6,9,"Sweet, Astringent","Hot","Moderate","Gluten-free and good for Kapha. Helps in balancing blood sugar."
67,Lemon-Coriander Soup,Soups,Indian,250,70,3,10,2,2,"Sour, Pungent, Salty","Hot","Easy","Light appetizer, helps in detoxifying and improves taste perception."
68,Drumstick Soup (Moringa Clear Soup),Soups,Indian,250,80,4,12,2,3,"Pungent, Bitter","Hot","Easy","Cleansing and highly nutritious. Good for Kapha and Vata."
69,Ajwain Water (Carom Water),Beverages,Indian,200,5,0,1,0,0,"Pungent, Bitter","Hot","Easy","Excellent carminative. Relieves bloating, gas, and indigestion instantly."
70,Jeera Water (Cumin Water),Beverages,Indian,200,5,0,1,0,0,"Pungent, Bitter","Cold","Easy","Cools the body, aids digestion, and is a gentle detoxifier. Good for Pitta."
71,Dry Ginger Coffee (Chukku Kaapi),Beverages,Indian,150,30,0.5,7,0,0,"Pungent, Sweet","Hot","Easy","South Indian remedy for colds, coughs, and indigestion. Pacifies Kapha."
72,Sol Kadhi,Beverages,Indian,200,130,2,8,10,1,"Sour, Pungent, Astringent","Cold","Easy","Digestive and cooling. Made from kokum and coconut milk. Pacifies Pitta."
73,Khamang Kakdi (Cucumber Salad),Salads,Indian,150,140,5,12,8,3,"Sweet, Sour, Salty","Cold","Moderate","Refreshing Maharashtrian salad. Crushed peanuts add Vata-pacifying oiliness."
74,Steamed Muthia (Gram flour dumplings),Snacks,Indian,150,220,10,35,5,7,"Sweet, Salty, Pungent","Hot","Moderate","Steamed version is a healthy, high-fiber snack. Good for Kapha."
75,Pumpkin Raita,Condiments,Indian,120,90,4,10,4,2,"Sweet, Sour","Cold","Easy","Cooked pumpkin makes this raita grounding and easy to digest. Pitta pacifying."
76,Flaxseed Chutney Powder (Jawas Chutney),Condiments,Indian,15,70,3,4,5,3,"Sweet, Pungent","Hot","Moderate","Rich in Omega-3. Warming and pacifies Vata and Kapha. Eat in moderation."
77,Curry Leaf Powder (Karuveppilai Podi),Condiments,Indian,15,60,2,8,2,3,"Pungent, Bitter","Hot","Easy","Aids digestion, good for hair health, and balances Kapha and Vata."
78,Rice and Moong Dal Porridge (Arisi Kanji),Healing Meals,Indian,300,280,10,55,2,4,"Sweet","Cold","Easy","South Indian version of Kanji, often given during illness for energy."
79,Buttermilk Curry (Moru Kuzhambu),Main Course,Indian,250,180,6,15,10,2,"Sour, Pungent, Astringent","Cold","Easy","Probiotic-rich, light curry that aids digestion. Good for Pitta."
80,Pithla (Gram flour curry),Main Course,Indian,200,250,12,25,12,7,"Salty, Pungent","Hot","Moderate","Simple, rustic Maharashtrian curry. Warming and can be drying for Vata."
81,Kootu (Lentil and Vegetable Stew),Main Course,Indian,280,290,14,30,12,11,"Sweet, Astringent","Neutral","Easy","South Indian stew, easier to digest than sambar. Tridoshic."
82,Avial (Mixed Veggies in Coconut),Main Course,Indian,250,280,7,20,20,8,"Sweet, Sour, Astringent","Cold","Difficult","Nourishing but heavy due to coconut and curd. Good for Vata and Pitta."
83,Ghiya Kofta (Bottle Gourd Dumplings in Curry),Main Course,Indian,300,320,10,35,15,8,"Sweet, Salty","Cold","Moderate","Healthier than fried koftas, as they are often steamed or shallow-fried."
84,Shatavari Milk,Beverages,Indian,200,140,8,14,6,0,"Sweet, Bitter","Cold","Easy","Excellent female reproductive tonic. Calming and Pitta pacifying."
85,Ashwagandha Milk,Beverages,Indian,200,140,8,14,6,0,"Astringent, Bitter, Sweet","Hot","Easy","Builds strength and immunity (Ojas). Calms Vata and promotes sleep."
86,Triphala Water (Detox Drink),Medicinal Meals,Indian,150,10,0,2,0,1,"All 5 tastes (No Salty)","Neutral","Easy","Tridoshic detoxifier, excellent for constipation and eye health."
87,Methi Dana Sabzi (Fenugreek Seed Curry),Medicinal Meals,Indian,150,200,8,20,10,9,"Bitter, Pungent","Hot","Moderate","Medicinal curry for joint pain and diabetes. Vata and Kapha pacifying."
88,Mooli Paratha (Radish Flatbread),Breads,Indian,120,260,7,35,10,7,"Pungent, Sweet","Hot","Difficult","Good for Kapha as it's drying and heating. Can aggravate Pitta."
89,Tomato Gojju (Sweet & Sour Curry),Main Course,Indian,150,180,3,20,10,4,"Sour, Sweet, Pungent","Hot","Moderate","Karnataka-style curry. Balances Vata, but can increase Pitta."
90,Neer Dosa (Watery Rice Crepe),Breakfast,Indian,120,200,4,45,0.5,2,"Sweet","Cold","Easy","Extremely light and soft crepe from Karnataka. Good for Pitta."
91,Handvo (Savory Lentil Cake - Baked),Snacks,Indian,150,300,14,40,9,11,"Pungent, Sour, Sweet","Hot","Difficult","Baked version is healthier than pan-fried. Fermented, so can increase Pitta."
92,Pathrode (Colocasia Leaf Rolls),Snacks,Indian,150,250,8,30,11,7,"Pungent, Sweet, Sour","Hot","Moderate","Steamed snack, good for digestion when prepared correctly."
93,Til Ladoo (Sesame Jaggery Balls),Desserts,Indian,30,150,4,15,9,3,"Sweet, Pungent, Bitter","Hot","Difficult","Warming and iron-rich. Excellent for Vata and Kapha in winter."
94,Singhara Atta Roti (Water Chestnut Roti),Breads,Indian,60,160,3,35,1,2,"Sweet, Astringent","Cold","Easy","Cooling and gluten-free. Commonly eaten during fasts."
95,Gond ke Ladoo (Edible Gum Sweet),Medicinal Meals,Indian,40,200,4,20,12,2,"Sweet","Hot","Difficult","Strengthening for bones and postpartum recovery. Very heating and heavy."
96,Harira (Nut & Seed Porridge),Medicinal Meals,Indian,150,250,8,25,14,5,"Sweet, Pungent","Hot","Difficult","Warming and strengthening drink for new mothers and winter."
97,Makki di Roti (Maize Flatbread),Breads,Indian,70,220,6,40,4,6,"Sweet","Hot","Difficult","Heavy and drying. A winter staple, best eaten with ghee/butter."
98,Sarson ka Saag (Mustard Greens Curry),Main Course,Indian,250,280,10,20,18,10,"Pungent, Bitter","Hot","Difficult","Heating and requires a strong digestion. Pacifies Vata and Kapha."
99,Brahmi Sharbat (Memory Boosting Drink),Beverages,Indian,200,80,1,20,0,0,"Bitter, Astringent","Cold","Easy","Brahmi is a nervine tonic, cools the mind, and enhances memory. Tridoshic."
100,Rose Sharbat (Gulkand Drink),Beverages,Indian,200,100,0.5,25,0,0,"Sweet, Astringent, Bitter","Cold","Easy","Excellent for cooling Pitta, reducing acidity, and calming the heart."
101,Bhindi Sabzi (Okra Stir-fry),Vegetables (Sabzi),Indian,200,180,4,15,12,6,"Sweet, Astringent","Cold","Moderate","Can be drying for Vata if not cooked with enough oil. Good for Kapha and Pitta."
102,Gajar Matar Sabzi (Carrot & Peas),Vegetables (Sabzi),Indian,250,200,5,28,8,8,"Sweet","Hot","Easy","Nourishing and sweet, good for pacifying Vata. Naturally builds blood."
103,Baingan Bharta (Roasted Eggplant Mash),Vegetables (Sabzi),Indian,250,220,5,25,12,9,"Pungent, Astringent","Hot","Moderate","Roasting makes it easier to digest. Can aggravate Pitta if too spicy."
104,Kadhi Pakora (Yogurt Curry with Fritters),Main Course,Indian,300,350,12,38,18,7,"Sour, Salty, Pungent","Hot","Difficult","Heavy and sour, can increase Pitta and Kapha. Best for Vata in moderation."
105,Rajma Masala (Kidney Bean Curry),Lentils (Dal),Indian,250,380,18,55,10,15,"Sweet, Astringent","Hot","Difficult","Heavy and can cause gas. Must be cooked with ginger and hing to aid digestion."
106,Chole (Chickpea Curry),Main Course,Indian,250,360,15,50,12,14,"Sweet, Astringent","Hot","Difficult","Like Rajma, it is heavy and Vata-aggravating if not cooked well."
107,Urad Dal (Black Gram Lentil),Lentils (Dal),Indian,250,340,22,45,9,12,"Sweet","Hot","Difficult","Very heavy and hard to digest, but strengthening. Used in medicinal preparations."
108,Dal Makhani (Buttery Black Lentils),Lentils (Dal),Indian,250,450,20,40,25,14,"Sweet, Salty","Hot","Difficult","Extremely heavy and rich. Pacifies Vata but significantly increases Kapha."
109,Sambar (South Indian Lentil Stew),Main Course,Indian,300,290,12,35,12,11,"Sour, Pungent, Salty, Sweet","Hot","Moderate","Sourness from tamarind can aggravate Pitta. Good for Vata and Kapha."
110,Quinoa Pulao,Grains,Indian,250,350,12,55,9,8,"Sweet, Bitter","Neutral","Easy","Lighter than rice. Tridoshic and a good source of protein."
111,Kuttu ki Roti (Buckwheat Flatbread),Breads,Indian,60,170,6,35,2,5,"Sweet, Pungent","Hot","Difficult","Heating and drying. Typically eaten during fasts. Vata should eat with ghee."
112,Sama Rice Khichdi (Barnyard Millet),Healing Meals,Indian,300,330,8,65,4,9,"Sweet","Cold","Easy","Extremely light and easy to digest. Common food for fasting."
113,Vegetable Korma,Main Course,Indian,280,380,8,25,28,9,"Sweet, Salty","Cold","Difficult","Heavy due to nuts, cream, and coconut. Increases Kapha, good for Vata."
114,Aloo Gobi (Potato & Cauliflower),Vegetables (Sabzi),Indian,250,230,6,30,10,8,"Sweet, Astringent","Hot","Moderate","Cauliflower can be gassy. Cook with ajwain or ginger for Vata."
115,Paneer Butter Masala,Main Course,Indian,250,420,18,15,35,4,"Sweet, Salty, Sour","Hot","Difficult","Very heavy and difficult to digest. Increases Kapha and Pitta."
116,Saag Paneer (Spinach with Cottage Cheese),Main Course,Indian,250,350,20,12,28,8,"Bitter, Sweet, Astringent","Cold","Moderate","Healthier than cream-based paneer dishes. Good for Pitta."
117,Karela Bhurji (Scrambled Bitter Gourd),Vegetables (Sabzi),Indian,200,190,5,15,13,8,"Bitter, Pungent","Cold","Easy","Excellent for purifying blood and managing blood sugar. Can increase Vata."
118,Adai (Mixed Lentil Pancake),Breakfast,Indian,150,320,16,42,10,12,"Astringent, Pungent, Sweet","Hot","Moderate","High in protein and fiber. Heavier than a regular dosa."
119,Poha (Flattened Rice Breakfast),Breakfast,Indian,200,250,5,50,4,2,"Sweet, Salty, Sour","Neutral","Easy","Light and easy to digest. Excellent breakfast for most doshas."
120,Tamarind Rice (Puliyogare),Grains,Indian,250,400,7,70,10,6,"Sour, Pungent, Salty","Hot","Moderate","Very heating and Pitta-aggravating. Should be eaten in moderation."
121,Curd Rice (Thayir Saadam),Grains,Indian,250,300,8,45,10,2,"Sour, Sweet","Cold","Easy","Cooling and probiotic. Good for Pitta, but can increase Kapha if eaten cold."
122,Coconut Chutney,Condiments,Indian,30,90,1,4,8,2,"Sweet","Cold","Moderate","Cooling but can be heavy. Pacifies Pitta and Vata."
123,Tomato Chutney,Condiments,Indian,30,40,1,7,1,1,"Sour, Pungent, Sweet","Hot","Easy","Heating and can aggravate Pitta. Good appetizer for Vata and Kapha."
124,Onion Raita,Condiments,Indian,120,95,4,8,5,1,"Pungent, Sour, Sweet","Hot","Moderate","Raw onion is heating and Rajasic. Can increase Pitta."
125,Boondi Raita,Condiments,Indian,120,150,5,12,9,1,"Salty, Sour, Sweet","Cold","Difficult","Fried boondi makes this raita heavy. Increases Kapha."
126,Vegetable Clear Soup,Soups,Indian,250,60,2,10,1,3,"Sweet, Salty","Hot","Easy","Light, hydrating, and appetizer. Tridoshic and good during illness."
127,Mushroom Soup,Soups,Indian,250,150,5,15,8,3,"Sweet","Cold","Difficult","Mushrooms grow in the dark and are considered Tamasic. Heavy to digest."
128,Sweet Corn Soup,Soups,Indian,250,180,5,35,3,4,"Sweet","Hot","Moderate","Can be drying. Corn is Vata-aggravating for some."
129,Rava Kesari (Semolina Sweet),Desserts,Indian,80,250,3,35,11,1,"Sweet","Hot","Difficult","Heavy sweet made with ghee and sugar. Increases Kapha and Pitta."
130,Moong Dal Halwa,Desserts,Indian,80,350,8,40,18,4,"Sweet","Hot","Difficult","Extremely heavy and rich. A winter sweet that pacifies Vata."
131,Gajar ka Halwa (Carrot Pudding),Desserts,Indian,100,280,5,30,15,3,"Sweet","Hot","Difficult","Nourishing and grounding for Vata. Increases Kapha due to milk and sugar."
132,Lauki Kheer (Bottle Gourd Pudding),Desserts,Indian,150,220,6,25,10,2,"Sweet","Cold","Moderate","Lighter than other kheers. Cooling and Pitta-pacifying."
133,Sabudana Kheer (Tapioca Pudding),Desserts,Indian,150,250,1,50,5,1,"Sweet","Cold","Moderate","Easy to digest but can be Kapha-aggravating."
134,Rice Kheer (Rice Pudding),Desserts,Indian,150,260,6,40,8,1,"Sweet","Cold","Difficult","Heavy and cooling. A traditional offering that increases Kapha."
135,Masala Chai (Spiced Tea),Beverages,Indian,150,90,2,10,4,0,"Pungent, Sweet, Astringent","Hot","Easy","Spices aid digestion, but milk and sugar can form ama. Good for Kapha and Vata."
136,Green Gram Sundal (Steamed Snack),Snacks,Indian,150,200,14,32,2,10,"Sweet, Astringent","Cold","Easy","Healthy steamed snack. Good for all doshas, especially Pitta and Kapha."
137,Chana Sundal (Chickpea Snack),Snacks,Indian,150,250,12,40,5,11,"Sweet, Astringent","Hot","Moderate","Heavier than green gram. Can be Vata-aggravating."
138,Vada Pav (Potato Fritter in Bun),Snacks,Indian,150,350,8,50,14,5,"Salty, Pungent, Sweet","Hot","Difficult","Deep-fried and heavy. Increases all three doshas, especially Pitta and Kapha."
139,Samosa (Fried Pastry),Snacks,Indian,100,300,5,35,17,4,"Salty, Pungent","Hot","Difficult","Heavy, oily, and hard to digest. Creates ama."
140,Khandvi (Gram Flour Rolls),Snacks,Indian,150,230,9,20,13,4,"Sweet, Salty","Cold","Easy","Light and easy to digest. Good for Pitta."
141,Patra (Colocasia Leaf Rolls),Snacks,Indian,150,250,7,30,12,6,"Pungent, Sweet, Sour","Hot","Moderate","Steamed snack, good for digestion when prepared correctly."
142,Appam with Coconut Milk,Breakfast,Indian,200,350,7,60,10,4,"Sweet, Sour","Cold","Moderate","Fermented dish that can increase Kapha and Pitta. Coconut milk is cooling."
143,Idiyappam (String Hoppers),Breakfast,Indian,150,220,5,48,1,3,"Sweet","Cold","Easy","Steamed and light. Excellent for Pitta. Easy to digest."
144,Misal Pav (Spicy Sprouts Curry),Main Course,Indian,300,450,15,55,20,15,"Pungent, Salty, Sour","Hot","Difficult","Extremely spicy and heating. Strongly aggravates Pitta."
145,Pav Bhaji (Vegetable Mash with Buns),Main Course,Indian,350,480,10,70,18,12,"Salty, Sour, Pungent","Hot","Difficult","Heavy and often very spicy. Increases Pitta and Kapha."
146,Thepla (Fenugreek Flatbread),Breads,Indian,60,180,5,25,7,4,"Bitter, Pungent, Sweet","Hot","Moderate","Good for Kapha and Vata. The bitterness is purifying."
147,Puran Poli (Sweet Lentil Flatbread),Desserts,Indian,100,350,10,55,10,8,"Sweet","Hot","Difficult","Very heavy and sweet. A festive dish that pacifies Vata."
148,Shrikhand (Strained Yogurt Sweet),Desserts,Indian,100,280,8,25,15,0,"Sweet, Sour","Cold","Difficult","Heavy, cold, and channel-clogging. Increases Kapha significantly."
149,Phool Gobi Paratha (Cauliflower Paratha),Breads,Indian,120,280,8,40,10,8,"Sweet, Pungent","Hot","Difficult","Cauliflower can be gassy. Can aggravate Vata and Pitta."
150,Aloo Paratha (Potato Stuffed Bread),Breads,Indian,120,320,7,45,12,6,"Sweet, Salty","Hot","Difficult","Heavy and grounding. Good for Vata, but increases Kapha."
151,Paneer Paratha (Cottage Cheese Paratha),Breads,Indian,120,350,15,38,15,5,"Sweet, Salty","Hot","Difficult","Heavy and high in protein. Can be hard to digest for some."
152,Sattu Paratha (Roasted Gram Flour Paratha),Breads,Indian,120,300,12,45,9,10,"Astringent, Sweet","Cold","Moderate","Cooling and high in protein. Can be drying for Vata."
153,Methi Muthia (Fenugreek Dumplings),Snacks,Indian,150,240,10,30,9,8,"Bitter, Pungent","Hot","Moderate","Steamed version is healthy. Good for Kapha and blood sugar."
154,Tomato Shorba (Thin Tomato Soup),Soups,Indian,250,100,3,18,2,3,"Sour, Salty, Sweet","Hot","Easy","Lighter than Rasam. A good appetizer for Vata and Kapha."
